   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.07186  13.07234    0.0034  30068979  72177449      -279
  13.07144  13.07193    0.0034  30067879  72179549     -1614
  13.07103  13.07150    0.0034  30078879  72212349      -281
  13.07061  13.07107    0.0034  30100679  72289149     -1348
  13.07019  13.07063    0.0034  30107379  72312349      -548
  13.06978  13.07020    0.0034  30107679  72313349     -1081
  13.06936  13.06977    0.0034  30099379  72313649      -814
  13.06894  13.06937    0.0034  30119379  72346749      -814
  13.06853  13.06897    0.0034  30131679  72366449     -1081
  13.06811  13.06858    0.0034  30136479  72400549      -548
  13.06769  13.06819    0.0034  30125479  72378149     -1614
  13.06728  13.06779    0.0034  30120679  72400549      -548
  13.06686  13.06737    0.0034  30117779  72408049     -1348
  13.06644  13.06694    0.0034  30135079  72431249      -814
  13.06603  13.06650    0.0034  30120979  72413649     -1348
  13.06561  13.06607    0.0034  30118079  72403249      -814
  13.06519  13.06564    0.0034  30119979  72429549     -1079
  13.06478  13.06522    0.0034  30115879  72436849     -1614
  13.06436  13.06481    0.0034  30117779  72435249      -548
  13.06394  13.06440    0.0034  30115879  72474149     -1614
  13.06353  13.06399    0.0034  30105279  72445649      -548
  13.06311  13.06357    0.0034  30115379  72466949     -1614
  13.06269  13.06316    0.0034  30115679  72476049      -548
  13.06228  13.06276    0.0034  30109779  72470449     -1348
  13.06186  13.06234    0.0034  30114279  72466749      -814
  13.06144  13.06193    0.0034  30105279  72483749     -1348
  13.06103  13.06150    0.0034  30107879  72492349      -814
  13.06061  13.06106    0.0034  30112479  72508049      -814
  13.06019  13.06062    0.0034  30118579  72497349     -1348
  13.05978  13.06019    0.0034  30107879  72492549      -548
  13.05936  13.05977    0.0034  30104479  72504349     -1348
  13.05894  13.05936    0.0034  30108979  72538749      -281
  13.05853  13.05896    0.0034  30113779  72553549     -1346
  13.05811  13.05857    0.0034  30103379  72537149      -281
  13.05769  13.05818    0.0034  30102079  72544349      -814
  13.05728  13.05777    0.0034  30096179  72548349      -814
  13.05686  13.05735    0.0034  30098879  72561149      -548
  13.05644  13.05692    0.0034  30092179  72575249     -1081
  13.05603  13.05648    0.0034  30088979  72554449      -281
  13.05561  13.05605    0.0034  30086079  72557649     -1348
  13.05519  13.05563    0.0034  30086579  72554949       -14
  13.05478  13.05521    0.0034  30092479  72569949     -1348
  13.05436  13.05479    0.0034  30091879  72572849      -281
  13.05394  13.05438    0.0034  30083679  72590949     -1081
  13.05353  13.05397    0.0034  30064179  72551249      -548
  13.05311  13.05356    0.0034  30072679  72563749      -814
  13.05269  13.05315    0.0034  30078879  72585649     -1348
  13.05228  13.05274    0.0034  30064679  72618749      -548
  13.05186  13.05233    0.0034  30073779  72580049     -1348
  13.05144  13.05192    0.0034  30070379  72594049      -546
  13.05103  13.05149    0.0034  30075079  72579749     -1614
  13.05061  13.05106    0.0034  30079379  72618749      -548
  13.05019  13.05063    0.0034  30073279  72613949     -1348
  13.04978  13.05019    0.0034  30044979  72605949      -814
  13.04936  13.04977    0.0034  30040479  72605349     -1348
  13.04894  13.04936    0.0034  30058579  72605949     -1081
  13.04853  13.04897    0.0034  30057479  72641649      -814
  13.04811  13.04858    0.0034  30055079  72650949     -1081
  13.04769  13.04819    0.0034  30041779  72612549      -548
  13.04728  13.04778    0.0034  30045779  72620049     -1614
  13.04686  13.04737    0.0034  30056979  72668349      -281
  13.04644  13.04694    0.0034  30058079  72692849     -1881
  13.04603  13.04651    0.0034  30045279  72651249      -281
  13.04561  13.04607    0.0034  30036179  72642449     -1348
  13.04519  13.04564    0.0034  30040479  72668049      -814
  13.04478  13.04523    0.0034  30053779  72706949     -1079
  13.04436  13.04482    0.0034  30046879  72698949      -814
