   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:36 - 17.10.06 11:36
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64017 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.06228  13.06275    0.0034  30087679  50278749     -1614
  13.06186  13.06233    0.0034  30074279  50277349     -1081
  13.06144  13.06192    0.0034  30062879  50268549     -1081
  13.06103  13.06149    0.0034  30051379  50271749     -1614
  13.06061  13.06106    0.0034  30063679  50286449      -814
  13.06019  13.06062    0.0034  30070079  50314949     -1614
  13.05978  13.06018    0.0034  30065479  50290449      -814
  13.05936  13.05976    0.0034  30052979  50288049     -1881
  13.05894  13.05935    0.0034  30061479  50300549      -548
  13.05853  13.05895    0.0034  30078379  50331049     -1880
  13.05811  13.05856    0.0034  30055679  50334749      -814
  13.05769  13.05817    0.0034  30063079  50333949     -1348
  13.05728  13.05776    0.0034  30053479  50340549     -1081
  13.05686  13.05735    0.0034  30068479  50345149     -1348
  13.05644  13.05691    0.0034  30064179  50352049     -1348
  13.05603  13.05648    0.0034  30054079  50348549      -814
  13.05561  13.05604    0.0034  30046579  50345349     -1881
  13.05519  13.05561    0.0034  30044179  50368549      -548
  13.05478  13.05520    0.0034  30044179  50369649     -1614
  13.05436  13.05478    0.0034  30059879  50376849      -814
  13.05394  13.05437    0.0034  30049779  50373349     -1614
  13.05353  13.05396    0.0034  30028979  50366449      -814
  13.05311  13.05355    0.0034  30029479  50376849     -1081
  13.05269  13.05314    0.0034  30029779  50392549     -1348
  13.05228  13.05273    0.0034  30034279  50387249     -1081
  13.05186  13.05232    0.0034  30032179  50393449     -1346
  13.05144  13.05191    0.0034  30043879  50384849      -548
  13.05103  13.05149    0.0034  30020679  50379749     -1614
  13.05061  13.05105    0.0034  30029779  50388849      -281
  13.05019  13.05062    0.0034  30025779  50417349     -1348
  13.04978  13.05018    0.0034  30027379  50424549      -548
  13.04936  13.04976    0.0034  30010079  50404849     -1081
  13.04894  13.04935    0.0034  30021779  50440049      -548
  13.04853  13.04896    0.0034  30026579  50427249     -1081
  13.04811  13.04857    0.0034  30016479  50437649      -814
  13.04769  13.04818    0.0034  30027379  50454449      -814
  13.04728  13.04777    0.0034  30000679  50451249     -1081
  13.04686  13.04736    0.0034  30003379  50465149      -548
  13.04644  13.04693    0.0034  30014279  50467549     -1348
  13.04603  13.04650    0.0034  30019879  50454149      -548
