   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:39 - 17.10.06 11:39
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.6 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.63989 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.05436  13.05477    0.0034  30028979  44612349     -1081
  13.05394  13.05436    0.0034  30026279  44605649     -1614
  13.05353  13.05395    0.0034  30019079  44622449     -1081
  13.05311  13.05354    0.0034  30025279  44631249     -1348
  13.05269  13.05313    0.0034  30026279  44619249     -1348
  13.05228  13.05272    0.0034  30018579  44634749     -1081
  13.05186  13.05231    0.0034  30031679  44641049     -1613
  13.05144  13.05190    0.0034  30026279  44657149      -814
  13.05103  13.05147    0.0034  30009479  44648349     -1881
  13.05061  13.05105    0.0034  30007379  44652049      -548
  13.05019  13.05061    0.0034  30002279  44661149     -1614
  13.04978  13.05017    0.0034  30007379  44670449      -548
  13.04936  13.04975    0.0034  30009779  44685349     -1081
  13.04894  13.04935    0.0034  30006879  44691249     -1081
  13.04853  13.04895    0.0034  30002579  44688349     -1081
  13.04811  13.04856    0.0034  30000979  44700549     -1348
  13.04769  13.04817    0.0034  30011679  44699549      -814
  13.04728  13.04777    0.0034  30014279  44705649     -1348
  13.04686  13.04735    0.0034  30013779  44703749      -548
  13.04644  13.04692    0.0034  29995879  44702949     -1614
  13.04603  13.04649    0.0034  30013479  44729649      -548
  13.04561  13.04606    0.0034  30024479  44737149     -1348
  13.04519  13.04563    0.0034  30017779  44751749      -813
  13.04478  13.04521    0.0034  30009279  44740849     -1081
  13.04436  13.04480    0.0034  29996479  44742149     -1348
  13.04394  13.04439    0.0034  29995079  44758149      -548
  13.04353  13.04398    0.0034  30010079  44758149     -1348
  13.04311  13.04357    0.0034  30000479  44767249      -548
  13.04269  13.04316    0.0034  29988479  44762749     -1614
  13.04228  13.04275    0.0034  30004979  44786749      -548
  13.04186  13.04234    0.0034  30001279  44785149     -1348
  13.04144  13.04192    0.0034  29998279  44801149      -548
  13.04103  13.04150    0.0034  29994279  44784849     -1348
  13.04061  13.04107    0.0034  29993779  44800549     -1081
  13.04019  13.04063    0.0034  30007679  44820049     -1348
  13.03978  13.04020    0.0034  29997279  44834749     -1348
  13.03936  13.03977    0.0034  29992479  44837949      -814
  13.03894  13.03937    0.0034  29995079  44823249     -1614
  13.03853  13.03897    0.0034  30003879  44848849      -546
  13.03811  13.03858    0.0034  30002879  44873949     -1614
  13.03769  13.03819    0.0034  30006879  44866149      -548
  13.03728  13.03779    0.0034  29999079  44860049     -1614
  13.03686  13.03737    0.0034  29992179  44861949      -814
  13.03644  13.03694    0.0034  29998579  44875249     -1348
  13.03603  13.03651    0.0034  30010579  44897949     -1348
  13.03561  13.03608    0.0034  30003079  44892049      -548
  13.03519  13.03565    0.0034  29980179  44885949     -1881
  13.03478  13.03523    0.0034  29984979  44899549      -281
  13.03436  13.03482    0.0034  30000479  44917949     -1881
  13.03394  13.03441    0.0034  30005479  44927249      -281
  13.03353  13.03399    0.0034  29990279  44919549     -1614
  13.03311  13.03358    0.0034  29990279  44911549      -814
  13.03269  13.03317    0.0034  29977479  44922149     -1081
  13.03228  13.03276    0.0034  30002279  44947749     -1081
  13.03186  13.03235    0.0034  29989279  44961949     -1081
  13.03144  13.03193    0.0034  29993279  44949949     -1079
  13.03103  13.03151    0.0034  29982579  44971249      -814
  13.03061  13.03108    0.0034  29989279  44972349     -1614
  13.03019  13.03064    0.0034  29999379  44976849      -281
  13.02978  13.03021    0.0034  29992679  44980349     -1881
  13.02936  13.02978    0.0034  29983679  44978749      -814
  13.02894  13.02937    0.0034  29982079  44988349     -1348
  13.02853  13.02898    0.0034  29987679  45004849     -1081
  13.02811  13.02859    0.0034  29986279  45006149     -1348
  13.02769  13.02819    0.0034  29979879  45006149     -1614
  13.02728  13.02779    0.0034  29983679  44997649     -1081
  13.02686  13.02738    0.0034  29976179  45027749     -1614
  13.02644  13.02695    0.0034  29981779  45036849      -814
  13.02603  13.02652    0.0034  29980979  45039749     -2148
  13.02561  13.02608    0.0034  29990279  45044349      -814
  13.02519  13.02566    0.0034  29967079  45042749     -1881
  13.02478  13.02524    0.0034  29984179  45074249     -1079
  13.02436  13.02483    0.0034  29979679  45069149     -1614
